image,caption
1015584366_dfcec3c85a,large black dog leaps fallen log
1015584366_dfcec3c85a,mottled black and grey dog in blue collar jumping over fallen tree
1015584366_dfcec3c85a,black dog jumped tree stump
101654506_8eb26cfb60,brown and white dog running through snow
101654506_8eb26cfb60,dog running in snow
101654506_8eb26cfb60,dog running through snow
101654506_8eb26cfb60,white and brown dog running through snow covered field
101654506_8eb26cfb60,white and brown dog running over surface of snow
101669240_b2d3e7f17b,man in hat displaying pictures next to skier in blue hat
101669240_b2d3e7f17b,man skis past another man displaying paintings in snow
101669240_b2d3e7f17b,person wearing skis looking at framed pictures set up in snow
101669240_b2d3e7f17b,skier looks at framed pictures in snow next to trees
101669240_b2d3e7f17b,man on skis looking at artwork for sale in snow
1016887272_03199f49c4,collage of one person climbing cliff
1016887272_03199f49c4,group of people rock climbing on rock climbing wall
1016887272_03199f49c4,group of people climbing rock while one man belays
1016887272_03199f49c4,seven climbers ascending rock face whilst another man stands holding rope
1016887272_03199f49c4,several climbers in row climbing rock while man in red watches and holds line
1019077836_6fc9b15408,brown dog chases water from sprinkler on lawn
1019077836_6fc9b15408,brown dog plays with hose
1019077836_6fc9b15408,brown dog running on lawn near garden hose
1019077836_6fc9b15408,dog playing with hose
1019077836_6fc9b15408,large brown dog running away from sprinkler in grass
1019604187_d087bf9a5f,dog prepares to catch thrown object in field with nearby cars
1019604187_d087bf9a5f,white dog about to catch yellow ball in mouth
1019604187_d087bf9a5f,white dog about to catch yellow dog toy
1019604187_d087bf9a5f,white dog ready to catch yellow ball flying through air
1019604187_d087bf9a5f,white dog running after yellow ball
1020651753_06077ec457,black and white dog jumping in air to get toy
1020651753_06077ec457,black and white dog jumps up towards yellow toy
1020651753_06077ec457,dog leaps to catch ball in field
1020651753_06077ec457,white dog trying to catch ball in midair over grassy field
1020651753_06077ec457,white dog playing in green field with yellow toy
1022454332_6af2c1449a,child and woman at waters edge in big city
1022454332_6af2c1449a,large lake with lone duck swimming in it with several people around edge of it
1022454332_6af2c1449a,little boy at lake watching duck
1022454332_6af2c1449a,young boy waves hand at duck in water surrounded by green park
1022454332_6af2c1449a,two people at edge of lake facing water and city skyline
1022454428_b6b660a67b,couple and infant being held by male sitting next to pond with near by stroller
1022454428_b6b660a67b,couple sit on grass with baby and stroller
1022454428_b6b660a67b,couple with newborn baby sitting under tree facing lake
1022454428_b6b660a67b,man and woman care for infant along side of body of water
1022454428_b6b660a67b,couple with baby sit outdoors next to stroller
1022975728_75515238d8,black dog running in surf
1022975728_75515238d8,black lab with tags frolicks in water
1022975728_75515238d8,dog splashes in water
1022975728_75515238d8,black dog runs through water
1022975728_75515238d8,this black dog splashing in water
102351840_323e3de834,man drilling hole in ice
102351840_323e3de834,man drilling through frozen ice of pond
102351840_323e3de834,person in snow drilling hole in ice
102351840_323e3de834,person standing on frozen lake
102351840_323e3de834,two men ice fishing
1024138940_f1fefbdce1,two different breeds of brown and white dogs play on beach
1024138940_f1fefbdce1,two dogs making turn on soft sand beach
1024138940_f1fefbdce1,two dogs playing in sand at beach
1024138940_f1fefbdce1,two dogs playing together on beach
1024138940_f1fefbdce1,two large tan dogs play along sandy beach
102455176_5f8ead62d5,man uses ice picks and crampons to scale ice
102455176_5f8ead62d5,ice climber in blue jacket and black pants scaling frozen ice wall
102455176_5f8ead62d5,ice climber scaling frozen waterfall
102455176_5f8ead62d5,person in blue and red ice climbing with two picks
102455176_5f8ead62d5,climber climbing ice wall
1026685415_0431cbf574,black dog carries green toy in mouth as he walks through grass
1026685415_0431cbf574,black dog carrying something through grass
1026685415_0431cbf574,black dog has blue toy in mouth
1026685415_0431cbf574,dog in grass with blue item in mouth
1026685415_0431cbf574,wet black dog carrying green toy through grass
1028205764_7e8df9a2ea,man and baby in yellow kayak on water
1028205764_7e8df9a2ea,man and little boy in blue life jackets rowing yellow canoe
1028205764_7e8df9a2ea,man and child kayak through gentle waters
1028205764_7e8df9a2ea,man and young boy ride in yellow kayak
1028205764_7e8df9a2ea,man and child in yellow kayak
1030985833_b0902ea560,black dog and brown dog jumping up to catch red toy
1030985833_b0902ea560,black dog and brown dog play with red toy on courtyard
1030985833_b0902ea560,brown and black lab outside and black lab catching toy in mouth
1030985833_b0902ea560,black dog snaps at red and black object as brown dog lunges
1030985833_b0902ea560,chocolate lab jumps too late to get toy as black lab captures it in driveway
103106960_e8a41d64f8,boy with stick kneeling in front of goalie net
103106960_e8a41d64f8,child in red jacket playing street hockey guarding goal
103106960_e8a41d64f8,young kid playing goalie in hockey rink
103106960_e8a41d64f8,young male kneeling in front of hockey goal with hockey stick in right hand
103106960_e8a41d64f8,hockey goalie boy in red jacket crouches by goal with stick
103195344_5d2dc613a3,man in black sitting next to modern art structure in front of glass building
103195344_5d2dc613a3,man sits and reads newspaper by sculpture outside of office building
103195344_5d2dc613a3,man sits near large statue
103195344_5d2dc613a3,man sitting in front of metal sculpture in front of building
103195344_5d2dc613a3,man with backpack sitting in buildings courtyard in front of art sculpture reading
103205630_682ca7285b,tent being set up on ice
103205630_682ca7285b,two men about to enter ice fishing tent on snow covered lake
103205630_682ca7285b,two men setting up blue ice fishing hut on iced over lake
103205630_682ca7285b,two men standing on ice looking into something covered with blue tarp
103205630_682ca7285b,two people standing outside blue tent structure on snowy surface
1032122270_ea6f0beedb,woman crouches near three dogs in field
1032122270_ea6f0beedb,three dogs playing on grassy hill with blue sky
1032122270_ea6f0beedb,three dogs standing in grass and person sitting next to them
1032122270_ea6f0beedb,three dogs on grassy hill
1032122270_ea6f0beedb,three dogs stand in grassy field while person kneels nearby
1032460886_4a598ed535,man standing in front of skyscraper
1032460886_4a598ed535,man stands in front of skyscraper
1032460886_4a598ed535,man stands in front of very tall building
1032460886_4a598ed535,behind man in red shirt stands large skyscraper
1032460886_4a598ed535,there skyscraper in distance with man walking in front of camera
1034276567_49bb87c51c,boy bites hard into treat while he sits outside
1034276567_49bb87c51c,child biting into baked good
1034276567_49bb87c51c,small boy putting something in mouth with both hands
1034276567_49bb87c51c,boy eats food outside at table
1034276567_49bb87c51c,boy eating pizza over tin dish
104136873_5b5d41be75,people sit on mountainside and check out view
104136873_5b5d41be75,three people on hilltop overlooking green valley
104136873_5b5d41be75,three people hang out on top of big hill
104136873_5b5d41be75,three people overlook green valley
104136873_5b5d41be75,three people rest on ledge above moutains
1042020065_fb3d3ba5ba,boy in green shirt looking down at many inflatable boats
1042020065_fb3d3ba5ba,boy in green shirt watches kayakers
1042020065_fb3d3ba5ba,boy looks over railing at many boats and rafts below in water
1042020065_fb3d3ba5ba,young boy overlooking crowd of inflatable boats
1042020065_fb3d3ba5ba,young boy wearing jersey looks down over ledge at many boats in water
1042590306_95dea0916c,man and woman pose for camera while another man looks on
1042590306_95dea0916c,man holding hand of woman up to mouth in front of some buildings while another man looks on
1042590306_95dea0916c,multiracial couple posing for picture
1042590306_95dea0916c,asian man and blond woman holding hands outdoors man in background watches
1042590306_95dea0916c,guy in blue shirt biting hand of girl in black striped jacket while another guy watches
1045521051_108ebc19be,person eats takeout while watching small television
1045521051_108ebc19be,person sits on floor and eats in front of television
1045521051_108ebc19be,television with picture of girl on it
1045521051_108ebc19be,young man sits on floor by television with fast food meal in front of him
1045521051_108ebc19be,someone laying in front of tv eating food
1048710776_bb5b0a5c7c,couple of several people sitting on ledge overlooking beach
1048710776_bb5b0a5c7c,group of people sit on wall at beach
1048710776_bb5b0a5c7c,group of teens sit on wall by beach
1048710776_bb5b0a5c7c,crowd of people at beach
1048710776_bb5b0a5c7c,several young people sitting on rail above crowded beach
1052358063_eae6744153,boy takes jump on skateboard while another boy with skateboard watches
1052358063_eae6744153,child performing skateboard trick while another child with skateboard leans on wall
1052358063_eae6744153,little boy skateboarder doing trick on board while another young skateboarder watches
1052358063_eae6744153,young boy skateboarder jumping on platform on skateboard
1052358063_eae6744153,two skateboarders
105342180_4d4a40b47f,girl paddling down large river as seen from behind
105342180_4d4a40b47f,woman kayaking down river
105342180_4d4a40b47f,woman paddles boat down river
105342180_4d4a40b47f,woman with paddle
105342180_4d4a40b47f,woman with paddle sits in boat on water
1053804096_ad278b25f1,girl in pigtails splashes in shallow water
1053804096_ad278b25f1,girls plays in surf
1053804096_ad278b25f1,girl with pigtails playing in ocean by beach
1053804096_ad278b25f1,girl with pigtails plays in water
1053804096_ad278b25f1,young girl in pigtails plays in water
1055623002_8195a43714,group of four children wearing pajamas have pillow fight
1055623002_8195a43714,group of kids have pillowfight
1055623002_8195a43714,group of young children playing pillow fight on bed
1055623002_8195a43714,children having pillow fight
1055623002_8195a43714,four children having pillow fight
1055753357_4fa3d8d693,two constructions workers sit on beam taking break
1055753357_4fa3d8d693,two construction workers sitting up on side of building
1055753357_4fa3d8d693,two construction workers sitting on ibeam
1055753357_4fa3d8d693,two construction workers take seat on steel beam
1055753357_4fa3d8d693,two men take break from construction
1056249424_ef2a2e041c,children playing in water
1056249424_ef2a2e041c,two boys one with yellow and orange ball play in some water in front of field
1056249424_ef2a2e041c,two boys play in puddle
1056249424_ef2a2e041c,two children play with balloon in mud on sunny day
1056249424_ef2a2e041c,two kids running and playing in some water
1056338697_4f7d7ce270,blond woman in blue shirt appears to wait for ride
1056338697_4f7d7ce270,blond woman on street hailing taxi
1056338697_4f7d7ce270,woman signaling to traffic as seen from behind
1056338697_4f7d7ce270,woman with blonde hair wearing blue tube top waving on side of street
1056338697_4f7d7ce270,woman in blue dress holding out arm at oncoming traffic
1056359656_662cee0814,little girl looking at brochure on train rides
1056359656_662cee0814,young blond girl with magizine in hands
1056359656_662cee0814,young girl on train reads book about train rides
1056359656_662cee0814,young girl sits on seat and looks at train pamphlet
1056359656_662cee0814,child sitting down looking at train ride brochure
1056873310_49c665eb22,brown dog running after black dog on rocky shore
1056873310_49c665eb22,brown dog running after black dog
1056873310_49c665eb22,two dogs playing on beach
1056873310_49c665eb22,two dogs run across stones near body of water
1056873310_49c665eb22,two dogs run towards each other on rocky area with water in background
1057089366_ca83da0877,boy descends off end of high diving board
1057089366_ca83da0877,child jumps off high diving board into pool
1057089366_ca83da0877,kid jumps off diving board and into swimming pool below
1057089366_ca83da0877,little kid jumping off high dive at pool
1057089366_ca83da0877,boy jumping off high diving board into pool
1057210460_09c6f4c6c1,guy stands by window taking overshirt off
1057210460_09c6f4c6c1,man in tank top stands next to chrome door
1057210460_09c6f4c6c1,man puts shirt on near elevator
1057210460_09c6f4c6c1,man stands by elevator with head down
1057210460_09c6f4c6c1,man putting on shirt near elevator
1057251835_6ded4ada9c,lightcolored dog runs on beach
1057251835_6ded4ada9c,small yellow dog runs on beach
1057251835_6ded4ada9c,tan dog runs on sandy beach
1057251835_6ded4ada9c,white dog running down rocky beach
1057251835_6ded4ada9c,light brown dog running along beach
106490881_5a2dd9b7bd,boy in blue swim shorts at beach
106490881_5a2dd9b7bd,boy smiles for camera at beach
106490881_5a2dd9b7bd,young boy in swimming trunks walking with arms outstretched on beach
106490881_5a2dd9b7bd,children playing on beach
106490881_5a2dd9b7bd,boy playing on shore of ocean
106514190_bae200f463,hiker standing high on bluff overlooking mountains below
106514190_bae200f463,person on ski looks from hill over snow covered landscape
106514190_bae200f463,skier overlooking snowcovered mountain
106514190_bae200f463,skier overlooking beautiful white snow covered landscape
106514190_bae200f463,skier pauses on mountaintop
1067180831_a59dc64344,black and white dog attempting to catch yellow and purple object in low cut yard
1067180831_a59dc64344,black and white dog jumps after yellow toy
1067180831_a59dc64344,black and white dog jumps to get frisbee
1067180831_a59dc64344,black dog jumping up to catch purple and green toy
1067180831_a59dc64344,dog jumps to catch toy
1067675215_7336a694d6,man in blue shorts laying in street
1067675215_7336a694d6,man in blue shorts lays down outside in parking lot
1067675215_7336a694d6,man laying down in middle of street during heavy traffic
1067675215_7336a694d6,man lies on mat in parking lot between brown suv and yellow pickup with open door
1067675215_7336a694d6,shirtless man laying down in middle of busy street
1067790824_f3cc97239b,white and black dog and brown dog in sandy terrain
1067790824_f3cc97239b,woolly dog chases doberman on beach
1067790824_f3cc97239b,one dog chasing another one on beach
1067790824_f3cc97239b,two large dogs running through sand
1067790824_f3cc97239b,two large dogs chasing each other at beach
1072153132_53d2bb1b60,black and white dog catches toy in midair
1072153132_53d2bb1b60,dog and tennis ball
1072153132_53d2bb1b60,dog jumping to catch object thrown at it
1072153132_53d2bb1b60,dog leaps while chasing tennis ball through grassy field
1072153132_53d2bb1b60,multicolor dog jumping to catch tennis ball in grassy field
107318069_e9f2ef32de,crowd watching air balloons at night
107318069_e9f2ef32de,group of hot air balloons lit up at night
107318069_e9f2ef32de,people watching hot air balloons in park
107318069_e9f2ef32de,people watching hot air balloons
107318069_e9f2ef32de,seven large balloons lined up at nighttime near crowd
1075716537_62105738b4,child with helmet on head rides bike
1075716537_62105738b4,little boy rides bike down hill on miniature dirt bike
1075716537_62105738b4,young boy in helmet rides bike on road
1075716537_62105738b4,little boy rides bicycle in race
1075716537_62105738b4,young boy pedals quickly at bmx race
107582366_d86f2d3347,group of eight people gathered around table at night
107582366_d86f2d3347,group of people gathered around in dark
107582366_d86f2d3347,group of people sit around table outside on porch at night
107582366_d86f2d3347,group of people sit outdoors together at night
107582366_d86f2d3347,group of people sitting at table in darkened room
1075867198_27ca2e7efe,man in brown shirt and dark shorts plays on beach with two black dogs
1075867198_27ca2e7efe,man in shorts with two black dogs holds ball throwing toy at beach
1075867198_27ca2e7efe,man playing with two black dogs on beach
1075867198_27ca2e7efe,man with two dogs on beach
1075867198_27ca2e7efe,man at beach with two dogs
1075881101_d55c46bece,boy cleans bubbles off face
1075881101_d55c46bece,boy covered in suds has face wiped clean
1075881101_d55c46bece,boy covered in bubbles
1075881101_d55c46bece,child covered in foam climbing on black inflatable ramp
1075881101_d55c46bece,person covered in soapy water getting cleaned off
1077546505_a4f6c4daa9,boy in blue shorts slides down slide into pool
1077546505_a4f6c4daa9,boy in blue swimming trunks slides down yellow slide into wading pool with inflatable toys floating in water
1077546505_a4f6c4daa9,boy rides down slide into small backyard pool
1077546505_a4f6c4daa9,boy sliding down slide into pool with colorful tubes
1077546505_a4f6c4daa9,child falling off slide onto colored balloons floating on pool of water
1077931201_1e0bb83105,man in wetsuit throwing baby wearing wetsuit up into air
1077931201_1e0bb83105,man in wetsuit throwing toddler up in air and ready to catch him
1077931201_1e0bb83105,man in water throwing little boy up in air and waiting for him to come down so he can catch him
1077931201_1e0bb83105,man in pool and throwing small boy into air
1077931201_1e0bb83105,while water droplets fly man throws little boy up in air
1079274291_9aaf896cc1,little boy sticks tongue out for camera another boy looks on
1079274291_9aaf896cc1,two boys make faces
1079274291_9aaf896cc1,two young boys looking at camera one smiling other sticking tongue out
1079274291_9aaf896cc1,two young boys look up at camera as one sticks out tongue
1079274291_9aaf896cc1,two young boys making silly faces
10815824_2997e03d76,blonde horse and blonde girl in black sweatshirt staring at fire in barrel
10815824_2997e03d76,girl and horse stand by fire
10815824_2997e03d76,girl holding horse lead behind fire
10815824_2997e03d76,man and girl and two horses near contained fire
10815824_2997e03d76,two people and two horses watching fire
1082252566_8c79beef93,bulldog sheep dog and boxer standing in yard
1082252566_8c79beef93,large brown dog pushing small boston terrier with face while anouther dog watches
1082252566_8c79beef93,large skinny dog stands near two smaller dogs int dirt
1082252566_8c79beef93,there three dogs starring at ball in middle of them
1082252566_8c79beef93,three dogs of various sizes
1082379191_ec1e53f996,lady and man with no shirt sit on dock
1082379191_ec1e53f996,man and woman sitting on dock together
1082379191_ec1e53f996,man and woman sitting on dock
1082379191_ec1e53f996,man and woman sitting on deck next to lake
1082379191_ec1e53f996,shirtless man and woman sitting on dock
1084040636_97d9633581,closeup of white dog that laying head on paws
1084040636_97d9633581,large white dog lying on floor
1084040636_97d9633581,white dog has head on ground
1084040636_97d9633581,white dog resting head on tiled floor with eyes open
1084040636_97d9633581,white dog rests head on patio bricks
1084104085_3b06223afe,woman in yellow shirt and green shorts climbing artificial red wall whilst wearing safety harness
1084104085_3b06223afe,woman in blue shorts and white shirt indoor rock climbing
1084104085_3b06223afe,girl climbing rock wall
1084104085_3b06223afe,girl in harness climbing rocks
1084104085_3b06223afe,woman climbing artificial rock wall
1087168168_70280d024a,boy jumping on inflatable ring and girl watching him
1087168168_70280d024a,boy jumping on water jumphouse
1087168168_70280d024a,teenage boy jumping on inflatable slide
1087168168_70280d024a,young boy jumping and young girl seating in inflatable pool
1087168168_70280d024a,two young kids playing in water on inflated toy
1087539207_9f77ab3aaf,family playing on tractor on beautiful day
1087539207_9f77ab3aaf,children ride tractor in field
1087539207_9f77ab3aaf,several children playing on polaris vehicle outdoors
1087539207_9f77ab3aaf,children played on four wheeler in field
1087539207_9f77ab3aaf,four kids riding on atv in field
1088767354_2acee738cf,woman in red costume to left of man and woman standing together
1088767354_2acee738cf,woman wearing red costume looks at two other people standing on street
1088767354_2acee738cf,young woman in red sequined costume and feather stands on sidewalk
1088767354_2acee738cf,girl in salmon colored bikini standing next to two young people one wearing black outfit and other drinking pop
1088767354_2acee738cf,two young people approached by flamboyant young woman dressed in red bikini and red feathered headress
108898978_7713be88fc,skiiers walking up hill through forest
108898978_7713be88fc,two men skiing in snow in wooded area
108898978_7713be88fc,two people wearing yellow jackets crosscountry skiing
108898978_7713be88fc,two skiers making way through woodland
108898978_7713be88fc,two skiers sliding down trail in woods
108899015_bf36131a57,lone skier making way up mountain
108899015_bf36131a57,skiiers at top of snow covered hill
108899015_bf36131a57,two hikers climbing snowy hill
108899015_bf36131a57,two people on snowcovered mountain
108899015_bf36131a57,two people climbing up snowy mountain
1089181217_ee1167f7af,brown dog running down paved pathway
1089181217_ee1167f7af,brown dog running next to grass
1089181217_ee1167f7af,dog running down road
1089181217_ee1167f7af,light brown dog runs down path happily
1089181217_ee1167f7af,energetic brown dog running
1089755335_0bfbfd30e6,mother and children fishing on boardwalk at night
1089755335_0bfbfd30e6,woman and three children stand on deck with fishing pole
1089755335_0bfbfd30e6,woman stands with children on boardwalk at night overlooking sea
1089755335_0bfbfd30e6,some people on pier at night with one girl fishing off it
1089755335_0bfbfd30e6,woman with three children fishing over boardwalk in evening
109202756_b97fcdc62c,woman dressed in blue jacket and blue jeans rides brown horse near frozen lake and snowcovered mountain
109202756_b97fcdc62c,woman in blue jacket rides brown pony near water
109202756_b97fcdc62c,woman rides horse near frozen lake in wintertime
109202756_b97fcdc62c,young blond woman sitting atop brown draft horse in snowy mountains
109202756_b97fcdc62c,woman blue jacket sits on daft horse near frozen lake
109202801_c6381eef15,two draft horses pull cart through snow
109202801_c6381eef15,two golden brown horses pull sleigh driven by woman in blue coat
109202801_c6381eef15,two horses pulling woman in cart
109202801_c6381eef15,two horses pull carriage driven by woman over snow covered ground
109202801_c6381eef15,two horses pulling sled steered by smiling blond woman
109260216_85b0be5378,person climbing down sheer rock cliff using rope
109260216_85b0be5378,person climbs tall flat mountain while holding onto safety rope
109260216_85b0be5378,person climbing rock while holding onto white rope
109260216_85b0be5378,person rappels down steep incline
109260216_85b0be5378,person wearing red vest climbs up steep rock
109260218_fca831f933,people stand inside rock dome
109260218_fca831f933,shaft of light in cave shows three spelunkers
109260218_fca831f933,spelunkers pose inside rock cavern while bathed in sunlight from surface
109260218_fca831f933,three people sit in cave
109260218_fca831f933,three rock climbers posing on big rocks
1093716555_801aacef79,group of backpackers lay on dry ground
1093716555_801aacef79,group of hikers resting on ground in front of some mountains
1093716555_801aacef79,people camp with mountains in background
1093716555_801aacef79,several hikers rest with gear in front of mountain
1093716555_801aacef79,group of hikers resting in front of mountain
1093737381_b313cd49ff,woman in blue dress stands with chalk portrait of two children playing by stream
1093737381_b313cd49ff,woman standing in front of chalk drawing
1093737381_b313cd49ff,woman stands next to chalk drawing in front of barnlike structure
1093737381_b313cd49ff,woman stands outside near elaborate chalk illustration
1093737381_b313cd49ff,woman wearing blue dress drawing picture of boy and girl on sidewalk with sidewalk chalk
1094462889_f9966dafa6,brown dog plays in deep pile of snow
1094462889_f9966dafa6,dog looking at camera in snow
1094462889_f9966dafa6,dog runs through snow
1094462889_f9966dafa6,tan dog stand in snow and looks up
1094462889_f9966dafa6,brown dog out in snow
1095476286_87d4f8664e,boy jumping in fountain
1095476286_87d4f8664e,boy plays in fountains
1095476286_87d4f8664e,child plays in fountain
1095476286_87d4f8664e,little boy playing in water
1095476286_87d4f8664e,young boy jumping through water being sprayed up from ground
1095580424_76f0aa8a3e,corgi runs out of tunnel
1095580424_76f0aa8a3e,dog runs out of tunnel on course
1095580424_76f0aa8a3e,dog running out of tunnel on obstacle course
1095580424_76f0aa8a3e,dog running out of tunnel on dog obedience course
1095580424_76f0aa8a3e,small brown and white dog running out of small tunnel
1095590286_c654f7e5a9,blond dog and black and white dog run in dirt field
1095590286_c654f7e5a9,dog chases another dog
1095590286_c654f7e5a9,yellow dog and black and white dog running in dirt
1095590286_c654f7e5a9,two dogs running in field
1095590286_c654f7e5a9,two dogs running around
1095980313_3c94799968,little girl in blue swimsuit walking along wooden fence next to sandy beach
1095980313_3c94799968,little girl with arms outstretched posing at beach
1095980313_3c94799968,young girl walks on railing in front of beach
1095980313_3c94799968,little girl in blue swimsuit standing on handrail near beach
1095980313_3c94799968,little girl in blue bathing suit posing at beach
1096097967_ac305887b4,black and white dog drinking water from water spray
1096097967_ac305887b4,black and white dog being soaked with jet of water in blue paddling pool
1096097967_ac305887b4,dog sticking face into shower from garden hose
1096097967_ac305887b4,small white dog gets sprayed by water
1096097967_ac305887b4,white and black dog jumping into pool
1096165011_cc5eb16aa6,boy smiles underwater
1096165011_cc5eb16aa6,redheaded boy swimming underwater
1096165011_cc5eb16aa6,small boy swimming underwater
1096165011_cc5eb16aa6,smiling boy swims underwater in pool
1096165011_cc5eb16aa6,boys smiles underwater at pool
1096395242_fc69f0ae5a,boy with toy gun
1096395242_fc69f0ae5a,little boy in orange shorts playing with toy
1096395242_fc69f0ae5a,young boy with foot outstretched aims toy at camera in front of fireplace
1096395242_fc69f0ae5a,young child plays with new lightup toy
1096395242_fc69f0ae5a,boy with toy gun pointed at camera
109671650_f7bbc297fa,boy in yellow shorts standing on top of cliff
109671650_f7bbc297fa,boy wearing blue and yellow walking on cliff edge
109671650_f7bbc297fa,little boy standing high in air on rock
109671650_f7bbc297fa,young child standing alone on some jagged rocks
109671650_f7bbc297fa,child stands near edge of cliff
109738763_90541ef30d,person on snowmobile in mid jump
109738763_90541ef30d,snowmobiler flies through air
109738763_90541ef30d,snowmobile rider flies through air on or machine in front of tall pine trees
109738763_90541ef30d,rider jumps snowmobile high in rural area
109738763_90541ef30d,man up in air
109738916_236dc456ac,people riding around on snowmobiles
109738916_236dc456ac,people pose with helmets and goggles on while riding snowmobiles
109738916_236dc456ac,several people taking break while on snowmobiling ride
109738916_236dc456ac,three people and two snowmobiles
109738916_236dc456ac,two helmeted men sit on yellow snowmobiles while another man stands behind watching
109823394_83fcb735e1,three people drive atvs
109823394_83fcb735e1,three people on atvs in brown field turn heads to look at camera
109823394_83fcb735e1,three people on atv outside
109823394_83fcb735e1,three people on four wheel atv in field
109823394_83fcb735e1,three people ride four wheelers through field
109823395_6fb423a90f,four wheeler jumping in empty field
109823395_6fb423a90f,man on four wheeler flying through air
109823395_6fb423a90f,person riding orange atv in large empty field
109823395_6fb423a90f,man jumping with all terrain vehicle
109823395_6fb423a90f,man on atv catching air
109823397_e35154645f,man jumps gin air while riding atv
109823397_e35154645f,man on fourwheeler jumps near small building
109823397_e35154645f,atv airborne over field in front of white structure
109823397_e35154645f,person dressed in tan jacket jumps quad over harvested cornfield in front of small out building
109823397_e35154645f,man on four wheeler in air
1100214449_d10861e633,boy in striped shirt jumping in front of water fountain
1100214449_d10861e633,boy jumping off side of running stone water fountain in front of building
1100214449_d10861e633,happy boy jumping in front od city fountain
1100214449_d10861e633,little boy jumping in front of fountain
1100214449_d10861e633,little boy playfully jumping off side of fountain
1104133405_c04a00707f,boy carrying soccer ball
1104133405_c04a00707f,boy walks with ball tucked under arm
1104133405_c04a00707f,boy walks with soccer ball near fence
1104133405_c04a00707f,boy wearing white tshirt walks on grass and carries soccer ball
1104133405_c04a00707f,small boy carries soccer ball on field
1105959054_9c3a738096,child painting picture
1105959054_9c3a738096,artist paints clouds onto canvas
1105959054_9c3a738096,young girl painting picture
1105959054_9c3a738096,young girl with braids painting with water colors on white paper on wall
1105959054_9c3a738096,child paints on large paper with water colors
110595925_f3395c8bd6,cyclist riding bicycle on curved road up hill
110595925_f3395c8bd6,man in aerodynamic gear riding bicycle down road around sharp curve
110595925_f3395c8bd6,man on mountain bike pedaling up hill
110595925_f3395c8bd6,man bicycle up road while cows graze on hill nearby
110595925_f3395c8bd6,biker riding around curve in road
1107246521_d16a476380,black dog jumping to catch rope toy
1107246521_d16a476380,black dog playing fetch with ball of rope
1107246521_d16a476380,black dog pounces to get rope toy
1107246521_d16a476380,black dog running after rope toy
1107246521_d16a476380,large black dog playing in grassy yard
1107471216_4336c9b328,little girl holding cine camera in front of face
1107471216_4336c9b328,young girl looking through old fashioned video camera
1107471216_4336c9b328,young girl steadies aim with camera
1107471216_4336c9b328,girl with rosy cheeks and lips holding black toy gun
